CC,ECC,PI,PSN
BE,e0,63fc,RGR104.9
BE,e0,63fe,RQC 95FM
BE,e0,63ff,  JOE   
BE,e0,6402,R2 VL-BR
BE,e0,6424,R.Maria 
BE,e0,642d,MOETOEN 
BE,e0,642f,RGR107.6
BE,e0,6457,VIVACITE
BE,e0,6474,RADIO700
BE,e0,647b,  VBRO  
BE,e0,6482,DH Radio
BE,e0,6493,  BXFM  
BE,e0,6498, AraBel 
BE,e0,6499,HITALIA 
BE,e0,6502,R 2 ANT 
BE,e0,6508,NOSTLGIE
BE,e0,6552,VIVALUX 
BE,e0,6583,STEREOFM
BE,e0,6585,RADIOMOL
BE,e0,6586,N-KEMPEN
BE,e0,6589,PARK FM 
BE,e0,658a,ZOE FM  
BE,e0,658b,OPSINJOO
BE,e0,658e,GEEL  FM
BE,e0,6590,  WFM   
BE,e0,6591,NETELAND
BE,e0,6602,R 2 LIM 
BE,e0,6620,TRENDYFM
BE,e0,6622,TRUDO FM
BE,e0,6626,BENELUX 
BE,e0,6628,FM GOUD+
BE,e0,662c,V.R.W. -
BE,e0,667b,  VBRO  
BE,e0,6752,VIVACITE
BE,e0,6852,VIVACITE
BE,e0,6952,VIVACITE
BE,e0,6a52,VIVAHT  
BE,e0,6b02,R 2 W VL
BE,e0,6b52,VIVACHAR
BE,e0,6b8f,Wradio  
BE,e0,6c02,R 2 O VL
BE,e0,6c11, Max FM 
BE,e0,6c21,RadioMax
BE,e0,6cc4,UP RADIO
BE,e0,8000,FREQUENC
BE,e0,80e3, MONZA  
BE,e0,80ff,DEMRSTAD
BE,e0,8300,Kempenld
BE,e0,8555,RADIO + 
BE,e0,9084,Elisa FM
BE,e0,a000,  7 FM  
BE,e0,a100,  7 FM  
BE,e0,b000,MA RADIO
BE,e0,b7a4,MAXIMUM 
BE,e0,b883,IND*NEWS
BE,e0,cc01,BONHEUR 
BE,e0,cdef,ULTRASON
BE,e0,d000,RCF     
BE,e0,d390,BFBS R1 
BE,e0,d998,FREQUENC
BE,e0,e816,YOUFM.BE
BE,e0,ec00,CENTREFM
BE,e0,f0f0,COMINES 
BE,e0,f7a5,  ALMA  
BE,e0,fbbf,EMOTION 
BE,e0,ff11,RS1     
BG,e1,8040,ALMATER 
BG,e1,8042, Antola 
BG,e1,8043,Astra + 
BG,e1,8045,Aurea   
BG,e1,8046,BELLA FM
BG,e1,8047,Berkk-M 
BG,e1,8049,BUMERANG
BG,e1,804a,BUMERANG
BG,e1,804b,  V99   
BG,e1,804c,VisVital
BG,e1,804f,GEA 97.3
BG,e1,8051,DOBRUDJA
BG,e1,8056,KATRA FM
BG,e1,8058, HOT FM 
BG,e1,8059,MAIA    
BG,e1,805a,MELODIA 
BG,e1,805b,RADIO K2
BG,e1,805d,METRONOM
BG,e1,8061, NOVA NZ
BG,e1,8063, Pleven 
BG,e1,8064,RADIO999
BG,e1,8065,HITRADIO
BG,e1,8066, Dulovo 
BG,e1,8067,REZONANS
BG,e1,8068, RITUM+ 
BG,e1,8069,30PAHA  
BG,e1,806b, MELODY 
BG,e1,806c,DARIK   
BG,e1,8074, VEGA+  
BG,e1,8075, SILVER 
BG,e1,8076,  GAMA  
BG,e1,8077, ZETRA  
BG,e1,807a,JAZZ FM 
BG,e1,807b,  NOVA  
BG,e1,807c,FOLK RAD
BG,e1,8087,"105,6 FM"
BG,e1,8091,POWER FM
BG,e1,8092,ANTENA  
BG,e1,8094,GLASYT  
BG,e1,8096,River FM
BG,e1,8210,HORIZONT
BG,e1,8211,BNR     
BG,e1,8220,HR.BOTEV
BG,e1,8231,BLAGOEVG
BG,e1,8232, SOFIA  
BG,e1,8233, VARNA  
BG,e1,8234,PLOVDIV 
BG,e1,8235,S.ZAGORA
BG,e1,8236, SHUMEN 
BG,e1,8237, VIDIN  
BG,e1,8238,  BNR   
BG,e1,8239,KARDJALI
BG,e1,824d, DARIK  
BG,e1,835e,BTVRADIO
BG,e1,837d,MAGIC FM
BG,e1,837e,N-JOY   
BG,e1,837f, FOCUS  
BG,e1,8380,BG RADIO
BG,e1,8381,RADIO 1 
BG,e1,8382,  FM+   
BG,e1,8383,Veselina
BG,e1,8384, FRESH  
BG,e1,8386,Z-ROCK  
BG,e1,8388,RADIO 1 
BG,e1,8389,VITOSHA 
BG,e1,838a,VERONIKA
BG,e1,838b, ENERGY 
BG,e1,838c, -CITY- 
BG,e1,838d,NOVANEWS
BG,e1,838e, ULTRA  
BG,e1,838f,BULGARIA
BG,e1,8397,AVTO    
BG,e1,8398,THEVOICE
BG,e1,8403,SHLAGER 
BG,e1,8737, VIDIN  
BY,e3,0116,UNISTAR 
BY,e3,0f51,NARODNOE
BY,e3,3712, ZEFIR  
BY,e3,f001,   ONT  
BY,e3,f007,PILOT FM
BY,e3,f00f,Minskaya
BY,e3,f010, ROKS-M 
BY,e3,f011,UNISTAR 
BY,e3,f012, BREST  
BY,e3,f013,BARANOVI
BY,e3,f014, NOVOE  
BY,e3,f015,RadioMIR
BY,e3,f016,RadioMIR
BY,e3,f017, GRODNO 
BY,e3,f01b,Melodii 
BY,e3,f01e,LEGENDY 
BY,e3,f01f,RELAX   
BY,e3,f020,AVTO    
BY,e3,f024,EUROPA  
BY,e3,f050, NOVOE  
BY,e3,f071,RUSSKOE 
BY,e3,f075,Alpha   
BY,e3,f104,Radio BA
BY,e3,f109,Radio BA
BY,e3,f203,RadiusFM
BY,e3,f30a,RadioMIR
BY,e3,f311,Alpha   
BY,e3,f319,YUMOR FM
BY,e3,f3d8,UNISTAR 
BY,e3,fa00,YUMOR FM
CH,e1,4001,LORA    
CH,e1,4002,SFILTER 
CH,e1,4019,  CITE  
CH,e1,401a,RABE    
CH,e1,4035,toxic.fm
CH,e1,4055,swissAIR
CH,e1,421f,  LAC   
CH,e1,4224,Radio3i 
CH,e1,42a1, ONE FM 
CH,e1,4330,  TOP   
CH,e1,43a1, RR-SRG 
CH,e1,43b1, SRF 1  
CH,e1,43b2, SRF 2  
CH,e1,43b3, SRF 3  
CH,e1,43d1,RTS-1ERE
CH,e1,43d2,ESPACE2 
CH,e1,43d3,COULEUR3
CH,e1,43d4, OPTION 
CH,e1,43e1,RETE UNO
CH,e1,43e2,RETE DUE
CH,e1,43e3,RETE TRE
CH,e1,44b1,SRF 1 BE
CH,e1,45b1,SRF 1 LU
CH,e1,46b1,SRF 1 AG
CH,e1,47b1,SRF 1 BS
CH,e1,48b1,SRF 1 ZH
CH,e1,49b1,SRF 1 SG
CH,e1,4a1f,  LAC   
CH,e1,4aa1, ONE FM 
CH,e1,4ab1,SRF 1 GR
CH,e1,4b30,  TOP   
CH,e1,4c30,  TOP   
CH,e1,4d30,  TOP   
CH,e1,4f02, ENERGY 
CH,e1,4f03,CANAL3 D
CH,e1,4f04,  FM1   
CH,e1,4f05,BASILISK
CH,e1,4f06, B E O  
CH,e1,4f08, BERN1  
CH,e1,4f09,FREIBURG
CH,e1,4f0c,MUNOT   
CH,e1,4f0d,PILATUS 
CH,e1,4f0e,ENERGY  
CH,e1,4f10,SUNSHINE
CH,e1,4f13,ENERGY  
CH,e1,4f14,ZUERISEE
CH,e1,4f15,RADIO 24
CH,e1,4f16,CANAL3 F
CH,e1,4f17,  LFM   
CH,e1,4f18,CHABLAIS
CH,e1,4f1b,RFJ-BNJ 
CH,e1,4f1c,FRIBOURG
CH,e1,4f1d,RJB-BNJ 
CH,e1,4f1e,RHONE FM
CH,e1,4f20, ROUGE  
CH,e1,4f22,RTN-BNJ 
CH,e1,4f23,* RFT * 
CH,e1,4f24,radio3i 
CH,e1,4f25,   RSO  
CH,e1,4f26,CENTRAL 
CH,e1,4f28,RADIO 32
CH,e1,4f29, 105 FM 
CH,e1,4f2a,ENGIADIN
CH,e1,4f2b,ARGOVIA 
CH,e1,4f2c,Kanal K 
CH,e1,4f2d,  RRO   
CH,e1,4f2e,NEO1    
CH,e1,4f32,Radio X 
CH,e1,4f36,CENTRAL 
CH,e1,4f37,EVIVA   
CH,e1,4f38,RADIO 1 
CH,e1,4f40,3FACH   
CH,e1,4f52, GLORIA 
CH,e1,4f57, GRRIF  
CH,e1,4fa4,ZUERISEE
CH,e1,8036,FrBanane
CH,e1,8050,BRANDONS
CH,e1,8130,GLARISMO
CH,e1,8f08,Radio 11
CH,e1,8f15, LIVING-
CH,e1,9201,RADIO L 
CY,e1,0003,RADYOFOG
CY,e1,1011,LOGOS   
CY,e1,1023,MIX FM  
CY,e1,1045,ENERGY  
CY,e1,1f2f,PYRGOS  
CY,e1,2001, COSMOS 
CY,e1,2021,HIT FM  
CY,e1,2074, ACTIVE 
CY,e1,20c8,CHOICE  
CY,e1,2158,UCY     
CY,e1,2193, Prima  
CY,e1,2197, OLA97  
CY,e1,2201, Zenith 
CY,e1,2202, B' PIK 
CY,e1,2203,TPITO   
CY,e1,2204,TETAPTO 
CY,e1,2209,LOVE FM 
CY,e1,2215, A' PIK 
CY,e1,2229,87.5 VE 
CY,e1,2230,SUPER SP
CY,e1,2257,RUSSIAN 
CY,e1,2260,  NJOY  
CY,e1,2276, POLITIS
CY,e1,2280, VATAN  
CY,e1,2285,BAYRAK  
CY,e1,2286,BAYRAKFM
CY,e1,2287, BAYRAK 
CY,e1,2296,KLIK FM 
CY,e1,22a9,  PAFOS 
CY,e1,22c8,SPORT FM
CY,e1,22d8, PROTO  
CY,e1,22d9,SUPER FM
CY,e1,22e7,RUSRADIO
CY,e1,22f2,KANALI 6
CY,e1,22fd,DROMOSFM
CY,e1,22ff, DEEJAY 
CY,e1,23fa,  STAR  
CY,e1,2890,KISS FM 
CY,e1,2968,SFERA   
CY,e1,2f6b,COOL FM 
CY,e1,2f88, KLASIK 
CY,e1,3000,  ODTU  
CY,e1,3008,HAVADIS 
CY,e1,3214,TRT-FM  
CY,e1,3220,GUVEN   
CY,e1,33ff,SARA FM 
CY,e1,3fde,PLAY FM 
CY,e1,4444,  NJOY  
CY,e1,5000,KIBRISFM
CY,e1,5158, VATAN  
CY,e1,68a1,Astra   
CY,e1,6b9e,Disc FM 
CY,e1,7777,KANALI7 
CY,e1,8645,SUNSHINE
CY,e1,9310,NRG Turk
CY,e1,9550,Dance FM
CY,e1,9610,CAPITAL 
CY,e1,9910,NRG 99.1
CY,e1,aaa9,CAPITAL 
CY,e1,affa,  JUKE  
CY,e1,c7d5,  ANT1  
CY,e1,fe01,BFBS CY 
CY,e1,fe02,BFBS R2 
CY,e1,ffff,ROCK FM 
CZ,e2,2012,* LUZE *
CZ,e2,2015,Orlicko 
CZ,e2,2029,  JIH   
CZ,e2,2032,HITRADIO
CZ,e2,2034, RELAX  
CZ,e2,2039,RADIO 1 
CZ,e2,203b,EXPRESFM
CZ,e2,2091, HELAX  
CZ,e2,20a1,FREE 107
CZ,e2,20a2,KROKODYL
CZ,e2,20a4, PETROV 
CZ,e2,20c1,  ZLIN  
CZ,e2,20c3,ROCK MAX
CZ,e2,20f1,CONTACT 
CZ,e2,20ff,SPIN 962
CZ,e2,210e,  ZET   
CZ,e2,2116,"RFI 99,3"
CZ,e2,2203, IMPULS 
CZ,e2,2204,EVROPA 2
CZ,e2,2205,RADIO F1
CZ,e2,2311, SIGNAL 
CZ,e2,2316,DALNICE 
CZ,e2,232d,R-VLTAVA
CZ,e2,232e,R-DVOJKA
CZ,e2,232f,R-ZURNAL
CZ,e2,2335,  FAJN  
CZ,e2,2337,COUNTRY 
CZ,e2,233c, BLANIK 
CZ,e2,2353, ROCK R.
CZ,e2,2382,  MAGIC 
CZ,e2,239f, ORION  
CZ,e2,23a0,  KISS  
CZ,e2,23ff,HITRADIO
CZ,e2,2401,*DANCE* 
CZ,e2,2414,KROMERIZ
CZ,e2,2424,R-PLUS  
CZ,e2,2430, BONTON 
CZ,e2,2431,  BEAT  
CZ,e2,2434, RELAX  
CZ,e2,243c, BLANIK 
CZ,e2,243f,R-REGION
CZ,e2,2441, SAMSON 
CZ,e2,2442, COLOR  
CZ,e2,2445,RockZone
CZ,e2,244a,CLASSIC 
CZ,e2,2452,RCKanada
CZ,e2,2481, OLDIES 
CZ,e2,2491,Jihlava 
CZ,e2,24b2,DECHOVKA
CZ,e2,24b3,SKYROCK 
CZ,e2,24f8,HEYRADIO
CZ,e2,250d,R-CB    
CZ,e2,253c, BLANIK 
CZ,e2,2550, FAKTOR 
CZ,e2,25a0,  KISS  
CZ,e2,2608,R-PLZEN 
CZ,e2,2620,DRAGON  
CZ,e2,263c, BLANIK 
CZ,e2,2653, ROCK R.
CZ,e2,2660, FM PLUS
CZ,e2,26a0,  KISS  
CZ,e2,2706,R-LBC   
CZ,e2,2709,R-SEVER 
CZ,e2,273c, BLANIK 
CZ,e2,2753, ROCK R.
CZ,e2,2796, SLEZSKO
CZ,e2,280a,R-HK    
CZ,e2,280c,R-PCE   
CZ,e2,2835, *FAJN* 
CZ,e2,283c, BLANIK 
CZ,e2,2880,CER.HORA
CZ,e2,2882,  MAGIC 
CZ,e2,2902,R-OVA   
CZ,e2,290d,R-OVA   
CZ,e2,2996,--CAS-- 
CZ,e2,299e,CAS ROCK
CZ,e2,29a0,  KISS  
CZ,e2,2a02,R-BRNO  
CZ,e2,2a0f,R-BRNO  
CZ,e2,2a2a,VYSOCINA
CZ,e2,2a35, *FAJN* 
CZ,e2,2a3c, BLANIK 
CZ,e2,2aa0,  KISS  
CZ,e2,2aa1,PROGLAS 
CZ,e2,2ac2,HITRADIO
CZ,e2,2b07,R-OL    
CZ,e2,2b16,* HANA *
CZ,e2,2b28,  RUBI  
CZ,e2,2b3c, BLANIK 
CZ,e2,2b9f, ORION  
CZ,e2,2ba0,  KISS  
CZ,e2,2c3c, BLANIK 
CZ,e2,2c53, ROCK R.
CZ,e2,2d09,R-VYSOC.
CZ,e2,2d3c, BLANIK 
CZ,e2,2e02,R-ZLIN  
CZ,e2,2e0b,R-KV    
CZ,e2,2f35,  FAJN  
CZ,e2,2f53, ROCK R.
CZ,e2,2f9f, ORION  
DE,e0,1007,REBLAND 
DE,e0,100c,DTM Live
DE,e0,100d,SCHWARZW
DE,e0,1014, egoFM  
DE,e0,101a, ENERGY 
DE,e0,101b, CHARI  
DE,e0,101c,RADIO F 
DE,e0,101d,2DAY  89
DE,e0,101e,GONG96.3
DE,e0,1021,PARADISO
DE,e0,1023,STAR FM 
DE,e0,1024,KISS FM 
DE,e0,1026,   RFI  
DE,e0,1027,  Jazz  
DE,e0,1028, FluxFM 
DE,e0,102b,metropol
DE,e0,102d,KCRW BLN
DE,e0,102e,   FRW  
DE,e0,102f,  JAZZ  
DE,e0,1036,SORBINFO
DE,e0,103b,POTSDAM 
DE,e0,1053,CITY 104
DE,e0,1054,FSK 93.0
DE,e0,1055,9 1 7XFM
DE,e0,1056,TIDE96.0
DE,e0,1068,ERF POP 
DE,e0,106f,Radius  
DE,e0,1072,CARIVARI
DE,e0,1073, LOHRO  
DE,e0,1082,OKERWLLE
DE,e0,1083, LeineHz
DE,e0,1084,Rad.Jade
DE,e0,1085,OSTFRLND
DE,e0,1086,os radio
DE,e0,1087,O1 Lokal
DE,e0,1088,SR Goe  
DE,e0,108a,MEERRDIO
DE,e0,108f,CAMP FM 
DE,e0,1094,Triqency
DE,e0,1095,Triqency
DE,e0,109a,L'UNICO 
DE,e0,109d,BETHEL  
DE,e0,109f,domradio
DE,e0,10a1,Peilsndr
DE,e0,10af,RADIO NR
DE,e0,10b3,RadioRSL
DE,e0,10b7,RADIO SB
DE,e0,10ba,Radio NK
DE,e0,10bc,HOM 89.6
DE,e0,10c9,mephisto
DE,e0,10cc,RadioErz
DE,e0,10e0,BITX    
DE,e0,10e1,Kiel FM 
DE,e0,10ea,CampusFM
DE,e0,1309,ENERGY  
DE,e0,130a,107.7   
DE,e0,131c,CHARVARI
DE,e0,132f, ENERGY 
DE,e0,1337, POWER  
DE,e0,1342,ENERGY  
DE,e0,1343,weser.tv
DE,e0,1344,weser.tv
DE,e0,1361, Radio X
